material_id,formula,predicted_bandgap,period,electronegativity,covalent_radius,valence_electrons,ionization_energy,electron_affinity,atomic_volume,bond_length,bond_angle
1230268,Ba6 Sr3 W3 O18,3.235,3.5,2.6,102.5,4.8,2.077000000000001,0.9479999999999998,15.849396762091922,2.669264791023911,72.52005305876027
1230272,K4 Rb8 Ga4 F24,6.715,3.0,2.717,107.5,4.8,2.1580000000000017,2.5080000000000013,16.263954949914087,2.7212438600563855,71.16957094002119
1230309,Sr8 Li4 Re4 O24,1.885,3.0,2.5999999999999996,95.0,4.8,2.093000000000001,0.9479999999999997,12.079731351340483,2.532190867005016,71.9674020537345
1230319,Sr4 Li2 Re2 O12,1.893,3.0,2.5999999999999996,95.0,4.8,2.093000000000001,0.9480000000000001,11.937054306072778,2.523269852872338,67.71788632716382
1230414,Rb8 Na4 Ni4 F24,0.95,2.9,2.795,100.0,5.5,2.1890000000000014,2.583000000000001,13.61224603834784,2.6020803463267224,71.49417608699112
1230418,Cs8 K4 Ti4 F24,5.641,3.2,2.678,112.5,4.9,2.1750000000000016,2.434000000000001,17.627001436480263,2.803420873562184,71.53013752907506
1230422,K8 Na4 Ni4 F24,0.886,2.7,2.795,95.0,5.5,2.1890000000000014,2.583000000000001,12.81706197540671,2.558956257865826,72.02437529022812
1230435,Cs8 K4 V4 F24,2.026,3.2,2.717,112.5,5.0,2.1750000000000016,2.5080000000000013,17.243243104293228,2.775175675070968,72.49507357467566
1230439,Rb8 Na4 Ti4 F24,5.598,2.9,2.7169999999999996,102.5,4.9,2.1890000000000014,2.434000000000001,14.424638644829958,2.6714136718021653,70.7316723461919
1230441,Ba4 Sr2 W2 O12,3.081,3.5,2.5999999999999996,102.5,4.8,2.077000000000001,0.9480000000000001,15.846226041451311,2.67259752661829,67.35533530982765
1230512,Sc4 Ta4 Pb8 O24,2.831,3.4,2.756,90.0,5.2,2.1430000000000007,1.0219999999999998,13.481423519530455,2.6371213202780033,71.09643291454806
124184,Ho4 Ni4 O12,0.56,3.2,2.834,85.0,6.0,2.126000000000001,1.2435999999999998,10.16339246756118,2.336805991746562,66.43355008921229
127890,Y4 V4 O12,1.459,3.0,2.756,90.0,5.2,2.126000000000001,1.0219999999999998,11.207095906664268,2.4285798985382834,66.177884807067
145756,Dy4 Ni4 O12,0.546,3.2,2.834,85.0,6.0,2.126000000000001,1.3199999999999998,10.251157577789147,2.3441587921542366,65.8036300252858
155292,Cs1 Eu1 Cl3,5.332,4.2,2.2720000000000002,145.0,4.8,2.032,2.508,33.891094694847965,3.6516605811693466,60.00000000000001
158533,Na4 Nb4 O12,2.328,2.8,2.678,90.0,4.8,2.0940000000000007,1.1699999999999997,11.493735367211533,2.4620603450435583,68.03095767096261
158541,Na4 Nb4 O12,2.497,2.8,2.678,90.0,4.8,2.0940000000000007,1.1699999999999997,11.506511944316795,2.4616007109543703,68.77433296242111
1799972,Ti1 Pb1 O3,1.48,3.2,2.756,85.0,5.2,2.1599999999999997,1.0219999999999998,12.239907715400859,2.6043478783898055,60.00000000000001
180040,Cs8 Na4 Bi4 Cl24,3.855,3.9,2.2879999999999994,140.0,5.0,2.033000000000001,2.5080000000000013,32.55991980649456,3.5580434704660795,70.88972750940975
180043,Cs8 K4 Rh4 F24,2.261,3.3,2.7939999999999996,112.5,5.4,2.1750000000000016,2.583000000000001,17.739512153321392,2.816336762466445,71.95166570646727
180045,Cs8 Tl4 Fe4 F24,1.873,3.4,2.834,107.5,5.5,2.2050000000000014,2.434000000000001,18.722085972260537,2.834145659619714,71.25946120065602
